iter	RMSE
0	13.75524319
1	13.02700255
2	12.22233371
3	11.51399572
4	10.84681068
5	10.33880865
6	9.833951405
7	9.412011047
8	9.015217225
9	8.602224779
10	8.24739347
11	7.950031842
12	7.700450891
13	7.467633496
14	7.233799365
15	7.028597574
16	6.837489875
17	6.660423599
18	6.507982772
19	6.370622918
20	6.258248443
21	6.16109857
22	6.059203571
23	5.967563532
24	5.885185914
25	5.808494783
26	5.738017773
27	5.685715767
28	5.631824683
29	5.582280811
30	5.539587226
31	5.500791038
32	5.462012171
33	5.42687764
34	5.387955406
35	5.346305077
36	5.321008456
37	5.295836163
38	5.276468602
39	5.247336715
40	5.224784226
41	5.191140478
42	5.17051665
43	5.153565456
44	5.133936354
45	5.112607494
46	5.090667481
47	5.076082312
48	5.055973871
49	5.036887374
50	5.008038987
51	4.991954221
52	4.977636643
53	4.967582049
54	4.947915022
55	4.927996847
56	4.913454606
57	4.891616578
58	4.879356851
59	4.870113991
60	4.850763817
61	4.845043314
62	4.831486402
63	4.817362435
64	4.806665769
65	4.796471246
66	4.783874288
67	4.773989229
68	4.752359395
69	4.740611809
70	4.723961721
71	4.714202129
72	4.696710754
73	4.676332229
74	4.659401198
75	4.650503831
76	4.64629408
77	4.632819856
78	4.62170778
79	4.610436206
80	4.598488416
81	4.588922799
82	4.566648509
83	4.560508827
84	4.5471648
85	4.541333596
86	4.526957106
87	4.514677652
88	4.498468235
89	4.485295678
90	4.47360475
91	4.465425097
92	4.456725676
93	4.449454005
94	4.439872922
95	4.43097552
96	4.417031263
97	4.406512249
98	4.400714253
99	4.38394847
