iter	Passed	Remaining
0	4	415
1	8	415
2	12	410
3	16	403
4	21	399
5	22	354
6	24	319
7	25	293
8	27	273
9	28	256
10	29	241
11	31	230
12	32	220
13	34	211
14	35	203
15	37	195
16	38	189
17	40	183
18	41	177
19	43	172
20	44	167
21	46	163
22	47	159
23	49	156
24	51	154
25	53	151
26	54	147
27	56	144
28	57	140
29	58	137
30	60	133
31	61	130
32	62	127
33	64	124
34	65	122
35	67	119
36	68	116
37	69	113
38	71	112
39	73	109
40	75	108
41	76	106
42	78	104
43	80	102
44	82	100
45	83	98
46	85	96
47	87	94
48	89	92
49	90	90
50	91	88
51	93	86
52	94	83
53	95	81
54	97	79
55	99	77
56	100	75
57	101	73
58	103	71
59	104	69
60	106	67
61	107	65
62	108	63
63	110	62
64	111	60
65	113	58
66	114	56
67	116	54
68	117	52
69	118	50
70	120	49
71	121	47
72	122	45
73	124	43
74	125	41
75	127	40
76	129	38
77	130	36
78	132	35
79	133	33
80	134	31
81	136	29
82	137	28
83	138	26
84	140	24
85	141	23
86	142	21
87	144	19
88	145	18
89	147	16
90	148	14
91	149	13
92	151	11
93	152	9
94	154	8
95	155	6
96	156	4
97	158	3
98	159	1
99	161	0
